,RA,CODTURMA,DISCIPLINA,CURSO_TURMA,CURSO_ALUNO,STATUSRES,P1/AP1,P2/AP2,TRABALHO/AP3,ESPECIAL (SUBSTITUTIVA)/MP,MF,MEDIA FINAL/AS,TFALTAS,Total Geral,PERÍODO,TIPO,ENTRADA_x,SEM,SEM_R,SEM_D,SEMESTRE,ENTRADA_y
38,1811562673,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.8,4.4,6,4.3,5.3,5.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
39,1811562674,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3,3.6,6,4.1,4.4,3.9,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
40,1811562676,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.8,3.4,7.5,4.8,5.2,4.7,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
41,1811562678,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.6,8.2,6,7,7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
42,1811562685,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,1.8,4,2.2,2.2,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
43,1811562686,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.9,4.6,7,5.4,5.6,5.1,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
44,1811562688,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,3,6,4.1,4.1,1.7,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
45,1811562689,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.2,7.1,9,8.4,8.6,7.6,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
46,1811562757,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.8,1.9,5.5,3,3,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
47,1811562758,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,9.3,2.9,6,6.1,7,5.5,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
48,1811562759,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.9,1.8,3.5,3,3.1,2,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
49,1811562761,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.1,3.1,7,5.3,5.9,4.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
50,1811562762,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.5,9.3,9,8.6,8.6,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
51,1811562763,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.6,4.7,7.5,6.2,7,6.9,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
52,1811562764,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.6,3.2,8,5.5,6.4,5.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
53,1811562767,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.1,1.7,5.5,2.3,3.3,3.1,4,,2018.1,MT,2018.1,0,0,0,1,2018.1
54,1811562768,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.6,8.2,8,8.3,8.3,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
55,1811562775,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.7,3.9,5,4.5,4.8,4.6,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
56,1811562776,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.5,2.1,4,3.5,3.9,3.3,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
57,1811562778,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.6,4.1,3,3.6,3.8,4.1,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
58,1811562779,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.8,1.9,7,3.8,3.8,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
59,1811562782,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,4.3,7.9,9,7,7,2.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
60,1811562783,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.6,1.9,5,3.8,3.8,0.9,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
61,1811562784,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,3.2,6,3.3,3.3,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
62,1811562785,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,10,9.6,9.5,9.7,9.7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
63,1811562791,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,10,6.2,8,8.1,8.1,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
64,1811562794,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1.3,3.4,4.5,3,3,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
65,1811562798,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,3.8,7,5.3,5.9,5.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
66,1811562800,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,4.5,7,4.9,4.9,3.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
67,1811562826,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,2.1,3.5,2.1,2.3,1.4,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
68,1811562851,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.3,2.1,6,3,4.2,4.8,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
69,1811562854,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.8,4.1,6,4.9,4.9,3,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
70,1811562903,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.6,2,3.5,2,2,0.7,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
71,1811563331,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,9,8.6,9.5,9,9,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
72,1811563332,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.4,3.3,8,6.2,7,5.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
73,1811563342,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.5,6.7,7.5,6.5,7,6.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
74,1811563625,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,1.8,6,2.4,2.5,0.3,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
75,1811563628,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.3,1.8,5.5,2.7,2.7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
76,1811563668,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.4,3,7,5,6.2,6.3,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
77,1811563801,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.5,7.1,7.5,7.7,7.7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
78,1811563804,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,6.7,6,7,7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
79,1811563822,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.2,4.1,7.5,6.2,7.4,7.6,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
80,1811563839,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.9,4.9,9,6.5,7,6.3,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
81,1811563861,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.3,4.6,6,5.6,5.8,5.2,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
82,1811563868,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.7,1.8,5,4.5,4.5,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
83,1811563869,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9,6.8,5.5,7.2,7.2,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
84,1811563885,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,2,7,5,4.6,7.4,10,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
85,1811563915,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.6,4,7.5,6,7.1,7.2,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
86,1811563963,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.7,4.5,7.5,6.2,7,6.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
87,1811563965,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,2.2,5.5,2.4,2.4,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
88,1811563969,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5,4.9,7,5.6,5.9,5.9,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
89,1811564011,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.5,4,7,5.4,5.4,2.9,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
90,1811564014,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3,2.5,7,4,4.4,3.5,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
91,1811564015,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,2.7,5.5,3.8,3.8,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
92,1811564017,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,2.1,6,2.9,2.9,0.4,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
93,1811564021,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.3,2.6,5,3.9,4.2,3.3,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
94,1811564023,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.6,1.9,5,2.7,2.7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
95,1811564026,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1,1.6,4,2.1,2.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
96,1811564067,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7,4.6,7,6.2,7,7,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
97,1811564267,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,4.4,4.7,8,5.6,7,8.4,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
98,1811564869,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7,5.4,7,6.4,7,7,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
99,1811565273,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,0,2,0.6,0.6,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
100,1811565282,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
101,1811562565,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.8,9,8,7.9,7.9,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
102,1811562586,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.5,8.2,8.7,8.1,8.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
103,1811562591,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.5,7.2,6,7.6,7.6,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
104,1811562595,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9,6.8,8,7.9,7.9,0,8,,2018.1,MT,2018.1,0,0,0,1,2018.1
105,1811562596,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9,9.8,8.7,9.2,9.2,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
106,1811562597,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.8,7.8,8.7,8.4,8.4,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
107,1811562609,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.3,6.2,5.4,7,7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
108,1811562610,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.4,6,7,7.1,7.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
109,1811562612,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.9,6.2,7.4,7.2,7.2,0,4,,2018.1,MT,2018.1,0,0,0,1,2018.1
110,1811562614,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,7.6,5.3,7.2,7.2,0,4,,2018.1,MT,2018.1,0,0,0,1,2018.1
111,1811562615,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.4,7.4,8,7.9,7.9,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
112,1811562617,01 1ESTT-MT1,Estatística,Administração,Administração,REN - Reprovado por Nota,7,5.5,5.4,6,6,2,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
113,1811562619,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.5,5.6,8.1,7,7,0,7,,2018.1,MT,2018.1,0,0,0,1,2018.1
114,1811562620,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.2,6.2,7.4,7.3,7.3,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
115,1811562621,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,6.1,8,7.5,7.5,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
116,1811562624,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,6.8,7.5,9.4,7.8,7.8,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
117,1811562630,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,7.1,8,7.9,7.9,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
118,1811562631,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.3,8.4,7.4,8.1,8.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
119,1811562633,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.3,8.2,9.4,9,9,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
120,1811562634,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,5.8,8,7.4,7.4,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
121,1811562639,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,6.9,8.7,8,8,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
122,1811562642,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.2,6.7,8,7.6,7.6,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
123,1811562643,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.3,6,8,7.1,7.1,0,4,,2018.1,MT,2018.1,0,0,0,1,2018.1
124,1811562644,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.6,6.2,7.3,7,7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
125,1811562647,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.7,1.5,8.7,4.1,4.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
126,1811562648,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7.1,0,8.7,5.1,5.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
127,1811562649,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.2,2,7,4.6,4.8,2.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
128,1811562650,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.2,9,9.3,9.2,9.2,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
129,1811562654,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.5,5,8.7,7.3,7.3,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
130,1811562656,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.4,0,0,0.8,0.8,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
131,1811562658,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7.5,2.5,8,5.9,6.2,3.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
132,1811562659,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5,4,8,5.6,5.6,1,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
133,1811562660,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.3,7,8.7,7.3,7.3,6,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
134,1811562662,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.6,6,9.3,8.2,8.8,7.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
135,1811562665,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.2,3.5,8,5.8,6.2,4.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
136,1811562666,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.6,4.5,7.3,5.7,7,8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
137,1811562667,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.8,1,6.7,4.7,6.3,5.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
