RA,ENTRADA
1911563178,T2019.1
1911563179,T2019.1
1911563180,T2019.1
1911563181,T2019.1
1911563182,T2019.1
1911563183,T2019.1
1911563195,T2019.1
1911563199,T2019.1
1911563201,T2019.1
1911563210,T2019.1
1911563213,T2019.1
1911563231,T2019.1
1911563233,T2019.1
1911563239,T2019.1
1911563249,T2019.1
1911563253,T2019.1
1911563255,T2019.1
1911563256,T2019.1
1911563261,T2019.1
1911563267,T2019.1
1911563286,T2019.1
1911563294,T2019.1
1911563323,T2019.1
1911563361,T2019.1
1911563415,T2019.1
1911563422,T2019.1
1911563429,T2019.1
1911563437,T2019.1
1911563594,T2019.1
1911563595,T2019.1
1911563597,T2019.1
1911563598,T2019.1
1911563609,T2019.1
1911563610,T2019.1
1911563616,T2019.1
1911563620,T2019.1
1911563625,T2019.1
1911563645,T2019.1
1911563670,T2019.1
1911563671,T2019.1
1911563672,T2019.1
1911563676,T2019.1
1911563681,T2019.1
1911563697,T2019.1
1911563705,T2019.1
1911563706,T2019.1
1911563715,T2019.1
1911563736,T2019.1
1911563782,T2019.1
1911563809,T2019.1
1911563840,T2019.1
1911563842,T2019.1
1911563877,T2019.1
1911563879,T2019.1
1911563908,T2019.1
1911563964,T2019.1
1911563976,T2019.1
1911564133,T2019.1
1911564494,T2019.1
1911564769,T2019.1
1911564771,T2019.1
1911564773,T2019.1
1911564776,T2019.1
1911564780,T2019.1
1911564781,T2019.1
1911564782,T2019.1
1911564784,T2019.1
1911564787,T2019.1
1911564789,T2019.1
1911564791,T2019.1
1911564793,T2019.1
1911564798,T2019.1
1911564801,T2019.1
1911564805,T2019.1
1911564807,T2019.1
1911564808,T2019.1
1911564809,T2019.1
1911564811,T2019.1
1911564841,T2019.1
1911564894,T2019.1
1911565940,T2019.1
1911566010,T2019.1
1911566026,T2019.1
1811563965,T2019.2
1821568468,T2019.2
1821568474,T2019.2
1821568499,T2019.2
1821568621,T2019.2
1821568723,T2019.2
1821568724,T2019.2
1821568727,T2019.2
1821568749,T2019.2
1821568750,T2019.2
1821568766,T2019.2
1821568774,T2019.2
1821568802,T2019.2
1821568834,T2019.2
1821568845,T2019.2
1821569238,T2019.2
1911561618,T2019.2
1911562307,T2019.2
1911562314,T2019.2
1911562318,T2019.2
1911562361,T2019.2
1911562365,T2019.2
1911562371,T2019.2
1911562495,T2019.2
1911562504,T2019.2
1911562509,T2019.2
1911562513,T2019.2
1911562515,T2019.2
1911562519,T2019.2
1911562521,T2019.2
1911562525,T2019.2
1911562527,T2019.2
1911562533,T2019.2
1911562538,T2019.2
1911562548,T2019.2
1911562582,T2019.2
1911562586,T2019.2
1911562589,T2019.2
1911563012,T2019.2
1911563039,T2019.2
1911563055,T2019.2
1911563066,T2019.2
1911563091,T2019.2
1911563095,T2019.2
1911563121,T2019.2
1911563144,T2019.2
1911563179,T2019.2
1911563182,T2019.2
1911563183,T2019.2
1911563201,T2019.2
1911563210,T2019.2
1911563213,T2019.2
1911563231,T2019.2
1911563239,T2019.2
1911563249,T2019.2
1911563253,T2019.2
1911563255,T2019.2
1911563261,T2019.2
1911563286,T2019.2
1911563294,T2019.2
1911563361,T2019.2
1911563415,T2019.2
1911563429,T2019.2
1911563594,T2019.2
1911563595,T2019.2
1911563597,T2019.2
1911563609,T2019.2
1911563610,T2019.2
1911563616,T2019.2
1911563620,T2019.2
1911563625,T2019.2
1911563670,T2019.2
1911563671,T2019.2
1911563672,T2019.2
1911563681,T2019.2
1911563705,T2019.2
1911563715,T2019.2
1911563736,T2019.2
1911563782,T2019.2
1911563809,T2019.2
1911563840,T2019.2
1911563877,T2019.2
1911563908,T2019.2
1911563964,T2019.2
1911563976,T2019.2
1911564494,T2019.2
1911564773,T2019.2
1911564776,T2019.2
1911564780,T2019.2
1911564781,T2019.2
1911564784,T2019.2
1911564787,T2019.2
1911564789,T2019.2
1911564791,T2019.2
1911564793,T2019.2
1911564808,T2019.2
1911564809,T2019.2
1911564811,T2019.2
1911564841,T2019.2
1911564894,T2019.2
1911565940,T2019.2
1921567417,T2019.2
1921567418,T2019.2
1921567434,T2019.2
1921567483,T2019.2
1921567594,T2019.2
1921567600,T2019.2
1921567601,T2019.2
1921567602,T2019.2
1921567605,T2019.2
1921567607,T2019.2
1921567609,T2019.2
1921567613,T2019.2
1921567617,T2019.2
1921567625,T2019.2
1921567634,T2019.2
1921567635,T2019.2
1921567637,T2019.2
1921567638,T2019.2
1921567641,T2019.2
1921567646,T2019.2
1921567655,T2019.2
1921567658,T2019.2
1921567662,T2019.2
1921567664,T2019.2
1921567673,T2019.2
1921567682,T2019.2
1921567688,T2019.2
1921567696,T2019.2
1921567701,T2019.2
1921567703,T2019.2
1921567906,T2019.2
1921567909,T2019.2
1921567913,T2019.2
1921567914,T2019.2
1921567916,T2019.2
1921567918,T2019.2
1921567919,T2019.2
1921567921,T2019.2
1921567923,T2019.2
1921567924,T2019.2
1921567926,T2019.2
1921567929,T2019.2
1921567930,T2019.2
1921567932,T2019.2
1921567933,T2019.2
1921567934,T2019.2
1921567935,T2019.2
1921567936,T2019.2
1921567937,T2019.2
1921567938,T2019.2
1921567939,T2019.2
1921567940,T2019.2
1921567941,T2019.2
1921567943,T2019.2
1921567944,T2019.2
1921567945,T2019.2
1921567946,T2019.2
1921567948,T2019.2
1921567950,T2019.2
1921567955,T2019.2
1921567956,T2019.2
1921567957,T2019.2
1921567961,T2019.2
1921567962,T2019.2
1921567984,T2019.2
1921568189,T2019.2
1921568190,T2019.2
1921568263,T2019.2
1921568290,T2019.2
1921568307,T2019.2
1921568308,T2019.2
1921568309,T2019.2
1921568310,T2019.2
1921568314,T2019.2
1921568364,T2019.2
1921568598,T2019.2
1921568743,T2019.2
1921568853,T2019.2
1921568974,T2019.2
1921569017,T2019.2
1921569284,T2019.2
