RA,CODTURMA,DISCIPLINA,CURSO_TURMA,CURSO_ALUNO,STATUSRES,P1/AP1,P2/AP2,TRABALHO/AP3,ESPECIAL (SUBSTITUTIVA)/MP,MF,MEDIA FINAL/AS,TFALTAS,Total Geral,PERÍODO
1811562649,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,4.4,5,4.9,4.9,2.2,0,,2018.1
1811562650,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.7,8.1,5,7,7,0,0,,2018.1
1811562654,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.6,3.8,7,5.4,5.4,1.4,0,,2018.1
1811562656,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.1
1811562658,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.7,3.4,7,6.3,7.6,6.9,0,,2018.1
1811562659,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2,3,6,3.6,3.6,0.8,2,,2018.1
1811562660,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.9,6.3,6,7.1,7.1,6.3,0,,2018.1
1811562662,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.8,5.8,5.5,6.8,7,6.4,0,,2018.1
1811562665,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.5,5.7,8,6.7,7,6.5,0,,2018.1
1811562666,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.4,3.3,5.5,3.6,3.8,2.9,2,,2018.1
1811562667,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,1.7,4,1.8,1.8,0,0,,2018.1
1811562669,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.8,3.6,6,5.4,7,8,0,,2018.1
1811562673,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.8,4.4,6,4.3,5.3,5.5,0,,2018.1
1811562674,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3,3.6,6,4.1,4.4,3.9,0,,2018.1
1811562676,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.8,3.4,7.5,4.8,5.2,4.7,0,,2018.1
1811562678,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.6,8.2,6,7,7,0,0,,2018.1
1811562685,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,1.8,4,2.2,2.2,0,0,,2018.1
1811562686,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.9,4.6,7,5.4,5.6,5.1,0,,2018.1
1811562688,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,3,6,4.1,4.1,1.7,0,,2018.1
1811562689,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.2,7.1,9,8.4,8.6,7.6,0,,2018.1
1811562757,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.8,1.9,5.5,3,3,0,2,,2018.1
1811562758,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,9.3,2.9,6,6.1,7,5.5,2,,2018.1
1811562759,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.9,1.8,3.5,3,3.1,2,2,,2018.1
1811562761,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.1,3.1,7,5.3,5.9,4.8,0,,2018.1
1811562762,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.5,9.3,9,8.6,8.6,0,0,,2018.1
1811562763,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.6,4.7,7.5,6.2,7,6.9,2,,2018.1
1811562764,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.6,3.2,8,5.5,6.4,5.8,0,,2018.1
1811562767,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.1,1.7,5.5,2.3,3.3,3.1,4,,2018.1
1811562768,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.6,8.2,8,8.3,8.3,0,0,,2018.1
1811562775,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.7,3.9,5,4.5,4.8,4.6,0,,2018.1
1811562776,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.5,2.1,4,3.5,3.9,3.3,0,,2018.1
1811562778,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.6,4.1,3,3.6,3.8,4.1,0,,2018.1
1811562779,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.8,1.9,7,3.8,3.8,0,0,,2018.1
1811562782,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,4.3,7.9,9,7,7,2.8,0,,2018.1
1811562783,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.6,1.9,5,3.8,3.8,0.9,0,,2018.1
1811562784,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,3.2,6,3.3,3.3,0,0,,2018.1
1811562785,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,10,9.6,9.5,9.7,9.7,0,0,,2018.1
1811562791,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,10,6.2,8,8.1,8.1,0,2,,2018.1
1811562794,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1.3,3.4,4.5,3,3,0,0,,2018.1
1811562798,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,3.8,7,5.3,5.9,5.5,0,,2018.1
1811562800,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,4.5,7,4.9,4.9,3.5,0,,2018.1
1811562826,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,2.1,3.5,2.1,2.3,1.4,2,,2018.1
1811562851,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.3,2.1,6,3,4.2,4.8,2,,2018.1
1811562854,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.8,4.1,6,4.9,4.9,3,2,,2018.1
1811562903,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.6,2,3.5,2,2,0.7,2,,2018.1
1811563331,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,9,8.6,9.5,9,9,0,0,,2018.1
1811563332,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.4,3.3,8,6.2,7,5.8,0,,2018.1
1811563342,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.5,6.7,7.5,6.5,7,6.8,0,,2018.1
1811563625,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,1.8,6,2.4,2.5,0.3,2,,2018.1
1811563628,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.3,1.8,5.5,2.7,2.7,0,0,,2018.1
1811563668,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.4,3,7,5,6.2,6.3,0,,2018.1
1811563801,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.5,7.1,7.5,7.7,7.7,0,0,,2018.1
1811563804,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,6.7,6,7,7,0,0,,2018.1
1811563822,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.2,4.1,7.5,6.2,7.4,7.6,2,,2018.1
1811563839,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.9,4.9,9,6.5,7,6.3,2,,2018.1
1811563861,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.3,4.6,6,5.6,5.8,5.2,0,,2018.1
1811563868,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.7,1.8,5,4.5,4.5,0,2,,2018.1
1811563869,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9,6.8,5.5,7.2,7.2,0,0,,2018.1
1811563885,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,2,7,5,4.6,7.4,10,0,,2018.1
1811563915,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.6,4,7.5,6,7.1,7.2,0,,2018.1
1811563963,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.7,4.5,7.5,6.2,7,6.8,0,,2018.1
1811563965,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,2.2,5.5,2.4,2.4,0,2,,2018.1
1811563969,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5,4.9,7,5.6,5.9,5.9,2,,2018.1
1811564011,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.5,4,7,5.4,5.4,2.9,0,,2018.1
1811564014,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3,2.5,7,4,4.4,3.5,2,,2018.1
1811564015,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,2.7,5.5,3.8,3.8,0,2,,2018.1
1811564017,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,2.1,6,2.9,2.9,0.4,0,,2018.1
1811564021,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.3,2.6,5,3.9,4.2,3.3,2,,2018.1
1811564023,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.6,1.9,5,2.7,2.7,0,0,,2018.1
1811564026,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1,1.6,4,2.1,2.1,0,0,,2018.1
1811564067,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7,4.6,7,6.2,7,7,0,,2018.1
1811564267,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,4.4,4.7,8,5.6,7,8.4,0,,2018.1
1811564869,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7,5.4,7,6.4,7,7,0,,2018.1
1811565273,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,0,2,0.6,0.6,0,0,,2018.1
1811565282,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.1
1811562565,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.8,9,8,7.9,7.9,0,0,,2018.1
1811562586,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.5,8.2,8.7,8.1,8.1,0,0,,2018.1
1811562591,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.5,7.2,6,7.6,7.6,0,0,,2018.1
1811562595,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9,6.8,8,7.9,7.9,0,8,,2018.1
1811562596,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9,9.8,8.7,9.2,9.2,0,0,,2018.1
1811562597,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.8,7.8,8.7,8.4,8.4,0,0,,2018.1
1811562609,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.3,6.2,5.4,7,7,0,0,,2018.1
1811562610,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.4,6,7,7.1,7.1,0,0,,2018.1
1811562612,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.9,6.2,7.4,7.2,7.2,0,4,,2018.1
1811562614,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,7.6,5.3,7.2,7.2,0,4,,2018.1
1811562615,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.4,7.4,8,7.9,7.9,0,0,,2018.1
1811562617,01 1ESTT-MT1,Estatística,Administração,Administração,REN - Reprovado por Nota,7,5.5,5.4,6,6,2,0,,2018.1
1811562619,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.5,5.6,8.1,7,7,0,7,,2018.1
1811562620,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.2,6.2,7.4,7.3,7.3,0,0,,2018.1
1811562621,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,6.1,8,7.5,7.5,0,0,,2018.1
1811562624,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,6.8,7.5,9.4,7.8,7.8,0,0,,2018.1
1811562630,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,7.1,8,7.9,7.9,0,0,,2018.1
1811562631,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.3,8.4,7.4,8.1,8.1,0,0,,2018.1
1811562633,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.3,8.2,9.4,9,9,0,0,,2018.1
1811562634,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,5.8,8,7.4,7.4,0,0,,2018.1
1811562639,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,6.9,8.7,8,8,0,0,,2018.1
1811562642,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.2,6.7,8,7.6,7.6,0,0,,2018.1
1811562643,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.3,6,8,7.1,7.1,0,4,,2018.1
1811562644,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.6,6.2,7.3,7,7,0,0,,2018.1
1811562647,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.7,1.5,8.7,4.1,4.1,0,0,,2018.1
1811562648,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7.1,0,8.7,5.1,5.1,0,0,,2018.1
1811562649,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.2,2,7,4.6,4.8,2.5,0,,2018.1
1811562650,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.2,9,9.3,9.2,9.2,0,0,,2018.1
1811562654,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.5,5,8.7,7.3,7.3,0,0,,2018.1
1811562656,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.4,0,0,0.8,0.8,0,0,,2018.1
1811562658,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7.5,2.5,8,5.9,6.2,3.5,0,,2018.1
1811562659,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5,4,8,5.6,5.6,1,0,,2018.1
1811562660,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.3,7,8.7,7.3,7.3,6,0,,2018.1
1811562662,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.6,6,9.3,8.2,8.8,7.5,0,,2018.1
1811562665,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.2,3.5,8,5.8,6.2,4.5,0,,2018.1
1811562666,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.6,4.5,7.3,5.7,7,8,0,,2018.1
1811562667,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.8,1,6.7,4.7,6.3,5.5,0,,2018.1
1811562669,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,4,8,6.6,7,5,0,,2018.1
1811562673,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.7,3.5,7.3,5.1,5.1,3.5,0,,2018.1
1811562674,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.2,3,8,6,7,5.8,0,,2018.1
1811562676,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.6,1,8,4.4,4.5,1.5,0,,2018.1
1811562678,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,8.5,8,8.2,8.2,0,0,,2018.1
1811562685,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.9,4,8,5.9,6,4.5,0,,2018.1
1811562686,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.1,5,7.3,7.1,7.1,0,0,,2018.1
1811562688,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.4,3.5,9.3,6.3,7.3,6.5,0,,2018.1
1811562689,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.7,6,7,6.9,7.2,7,0,,2018.1
1811562757,01 1ESTT-MT1,Estatística,Administração,Administração,REN - Reprovado por Nota,6.2,6,7,6.4,6.4,0,2,,2018.1
1811562758,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.5,6.1,8,7.5,7.5,0,6,,2018.1
1811562759,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.3,6.4,6.7,7.5,7.5,0,0,,2018.1
1811562761,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,6.2,7.3,7.5,7,7,0,0,,2018.1
1811562762,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9,8.3,6,7.9,7.9,0,0,,2018.1
1811562763,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.9,5,8.3,7,7,0,4,,2018.1
1811562764,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.8,7.6,7.4,8,8,0,0,,2018.1
1811562767,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.7,9.6,8,8.8,8.8,0,4,,2018.1
1811562768,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.8,7.8,9.4,8.6,8.6,0,0,,2018.1
1811562775,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7.5,2.5,8.7,6.1,6.1,2,0,,2018.1
1811562776,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.7,5.5,9.3,7.4,7.4,0,0,,2018.1
1811562778,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.7,9,7.3,7.3,7.3,3,0,,2018.1
1811562779,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.4,2,8,5.3,6.2,4.5,0,,2018.1
1811562782,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.6,2.5,6.7,3.8,4,3,0,,2018.1
1811562783,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.4,1,7.3,4.8,5.3,2.5,0,,2018.1
1811562784,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.7,3,9.3,4.8,5.8,5.5,0,,2018.1
1811562785,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9,2,8.7,6.5,9.3,10,0,,2018.1
1811562791,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.8,6,9.3,7.6,7.6,0,0,,2018.1
1811562794,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.5,3,6.7,5.3,5.3,0.5,0,,2018.1
1811562798,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.4,5.5,8.7,7.1,7.1,5.5,0,,2018.1
1811562800,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.9,5.5,9.3,6.8,7,6,0,,2018.1
1811562826,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.1,0,3.3,2.4,2.4,0,0,,2018.1
1811562851,01 1ESTT-MT1,Estatística,Administração,Administração,REN - Reprovado por Nota,7,6.3,4.7,6.1,6.1,0,4,,2018.1
1811562854,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8,8.5,8.7,8.4,8.4,0,4,,2018.1
1811562903,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,6.4,7.4,7.3,7,7,0,0,,2018.1
1811563331,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.3,8.6,7.4,8.5,8.5,0,0,,2018.1
1811563332,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.3,6.3,8.7,7.4,7.4,0,0,,2018.1
1811563342,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.9,6.1,8.7,7.5,7.5,0,4,,2018.1
1811563625,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.6,0,7.3,3.1,3.1,0,0,,2018.1
1811563628,01 1ESTT-MT1,Estatística,Administração,Administração,REN - Reprovado por Nota,5.4,5.8,5.4,5.5,5.5,2.5,0,,2018.1
1811563668,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,9.5,9.1,8.7,9.1,9.1,0,0,,2018.1
1811563801,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,7.6,7.8,8,7.8,7.8,0,2,,2018.1
1811563804,01 1ESTT-MT2,Estatística,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.7,9,8,7.9,7.9,0,0,,2018.1
1811563822,01 1ESTT-MT1,Estatística,Administração,Administração,APM - Aprovado por média,8.3,9.4,6.7,8.2,8.2,0,0,,2018.1
